상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도
지앤,,카페,커피 전문점,대치2동,대치동,서울특별시 강남구 대치동 945-23,서울특별시 강남구 영동대로85길 20-7,127.061604134108,37.5073706982219
커피이야기,,카페,커피 전문점,서강동,창전동,서울특별시 마포구 창전동 1-24,서울특별시 마포구 서강로 115,126.933513405242,37.5532820785805
지니앤캐터피스,,카페,커피 전문점,송천동,미아동,서울특별시 강북구 미아동 330-76,서울특별시 강북구 도봉로19길 10-3,127.028505105208,37.6183732297168
카페유틸리티,,카페,커피 전문점,문정2동,문정동,서울특별시 송파구 문정동 639-5,서울특별시 송파구 정의로7길 13,127.115104425717,37.4852841052855
케인다,,카페,커피 전문점,오금동,오금동,서울특별시 송파구 오금동 129-19,서울특별시 송파구 마천로26길 10,127.138598635585,37.5022535521869
카페달싸,,카페,커피 전문점,당산1동,당산동3가,서울특별시 영등포구 당산동3가 388-1,서울특별시 영등포구 당산로33길 9,126.895634179343,37.5271641282477
메가엠지씨커피노량진점,,카페,커피 전문점,노량진1동,노량진동,서울특별시 동작구 노량진동 97-1,서울특별시 동작구 노량진로16길 14,126.943600364789,37.5129609443992
더쌍화피카디리,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 137,서울특별시 종로구 돈화문로5가길 1,126.991208911517,37.5710170721997
카페레프kafferep,,카페,커피 전문점,송파1동,송파동,서울특별시 송파구 송파동 118-39,서울특별시 송파구 백제고분로44길 25,127.113077888662,37.506533954026
남산#52LAB,,카페,커피 전문점,명동,회현동3가,서울특별시 중구 회현동3가 9-15,서울특별시 중구 퇴계로14길 19,126.983767018394,37.5596812079139
유끼노하나,,카페,커피 전문점,장안2동,장안동,서울특별시 동대문구 장안동 312-9,서울특별시 동대문구 장한로36길 10,127.0728056136,37.5774168024955
스윗스마일,,카페,커피 전문점,창2동,창동,서울특별시 도봉구 창동 628-20,서울특별시 도봉구 도봉로104길 53,127.035012916657,37.6433312594191
이디야화곡본동,,카페,커피 전문점,화곡본동,화곡동,서울특별시 강서구 화곡동 98-83,서울특별시 강서구 까치산로4길 11,126.844242144004,37.5422152230714
카페64,,카페,커피 전문점,공릉2동,공릉동,서울특별시 노원구 공릉동 1-1,서울특별시 노원구 화랑로 574,127.098682113822,37.6237506954407
더바른차담소,,카페,커피 전문점,면목4동,면목동,서울특별시 중랑구 면목동 718-2,서울특별시 중랑구 동일로 467,127.079833074975,37.5721466015504
지온에프앤비,,카페,커피 전문점,삼각산동,미아동,서울특별시 강북구 미아동 1357-10,서울특별시 강북구 삼양로19길 132,127.016035647562,37.6164948683448
메가엠지씨커피배봉,,카페,커피 전문점,장안2동,장안동,서울특별시 동대문구 장안동 111-8,서울특별시 동대문구 한천로 189,127.067862705243,37.5779635547069
너섬카페,,카페,커피 전문점,여의동,여의도동,서울특별시 영등포구 여의도동 41-1,서울특별시 영등포구 국제금융로7길 22,126.933058833223,37.5232372217592
오피커피,,카페,커피 전문점,상계2동,상계동,서울특별시 노원구 상계동 194-13,서울특별시 노원구 노원로26나길 12,127.070510887705,37.6535727218722
카페줌마,,카페,커피 전문점,중화1동,중화동,서울특별시 중랑구 중화동 287-7,서울특별시 중랑구 동일로 790,127.079817148662,37.6010339948961
커피다동,,카페,커피 전문점,명동,다동,서울특별시 중구 다동 167,서울특별시 중구 다동길 22-1,126.980499755489,37.567708355381
윈썸,,카페,커피 전문점,도곡1동,도곡동,서울특별시 강남구 도곡동 954-3,서울특별시 강남구 강남대로44길 14,127.034938956134,37.4858548895734
컴포즈커피신림,,카페,커피 전문점,미성동,신림동,서울특별시 관악구 신림동 608-38,서울특별시 관악구 난우길 14,126.918831803061,37.4742800955883
이디야커피하월곡동점,,카페,커피 전문점,월곡2동,하월곡동,서울특별시 성북구 하월곡동 67-37,서울특별시 성북구 오패산로 16,127.03747377967,37.6036426571343
카페474-1,,카페,커피 전문점,당산1동,당산동3가,서울특별시 영등포구 당산동3가 474-1,서울특별시 영등포구 당산로27길 23-1,126.893660165571,37.5252354449477
뉴타입그루브,,카페,커피 전문점,사당3동,사당동,서울특별시 동작구 사당동 260-8,서울특별시 동작구 사당로17라길 8,126.972401631756,37.485561775161
