상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간
이디야커피,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 11-1,서울특별시 종로구 삼일대로15길 13,126.98672255071,37.568771097397,https://place.map.kakao.com/10748907,"['월~금', '08:00 ~ 23:10', '토', '08:30 ~ 23:10', '일', '09:30 ~ 22:10', '공휴일', '08:30 ~ 23:10']"
오후,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 195-4,서울특별시 종로구 돈화문로5길 36,126.989990234673,37.5707273289257,https://place.map.kakao.com/16983102,[]
오가다,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 123-4,서울특별시 종로구 인사동길 60,126.983611839444,37.5752678934709,https://place.map.kakao.com/19604529,"['매일', '10:00 ~ 23:00', '이용시 주의 사항', '연중무휴']"
폴링,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 243-1,서울특별시 종로구 수표로 133,126.988156536284,37.5723875631574,https://place.map.kakao.com/15984181,[]
카페드람브르,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 75-8,서울특별시 종로구 종로 80,126.986208656756,37.5699380394971,https://place.map.kakao.com/14578875,"['화~토', '11:00 ~ 22:00', '월', '11:00 ~ 20:00', '일', '11:00 ~ 19:00', '공휴일', '11:00 ~ 19:00']"
엘스,,카페,커피 전문점,종로1.2.3.4가동,운니동,서울특별시 종로구 운니동 8-1,서울특별시 종로구 돈화문로11가길 99-7,126.989417813196,37.5770657598375,https://place.map.kakao.com/1613039118,[]
Teastory,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 88-1,서울특별시 종로구 돈화문로10길 2,126.991847923727,37.5723200310774,https://place.map.kakao.com/16874875,"['매일', '07:30 ~ 21:00']"
지음,,카페,커피 전문점,종로1.2.3.4가동,청진동,서울특별시 종로구 청진동 216-1,서울특별시 종로구 삼봉로 42,126.979541927969,37.5723674723165,https://place.map.kakao.com/17187952,[]
수요일,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 23,서울특별시 종로구 인사동길 36,126.985352709715,37.573787142009,https://place.map.kakao.com/7957823,"['월~금', '11:00 ~ 23:30', '토,일', '10:00 ~ 23:00', '이용시 주의 사항', '연중무휴']"
보리수,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 147,서울특별시 종로구 종로 140,126.993088429184,37.5701500973732,https://place.map.kakao.com/10377465,[]
자스,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 16-1,서울특별시 종로구 율곡로4길 9,126.982062896082,37.5751193906937,https://place.map.kakao.com/895676033,"['월~금', '07:00 ~ 21:00', '토', '09:00 ~ 18:00', '휴무일', '일요일']"
카페마지오,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 133-2,서울특별시 종로구 종로5길 103,126.978758325133,37.5742078289637,https://place.map.kakao.com/20635895,[]
소연,,카페,커피 전문점,종로1.2.3.4가동,권농동,서울특별시 종로구 권농동 142-3,서울특별시 종로구 서순라길 149,126.991572114973,37.5768228813932,https://place.map.kakao.com/9483853,"['월~금', '10:00 ~ 19:00', '토', '10:00 ~ 22:00', '일', '11:00 ~ 22:00']"
수래연,,카페,커피 전문점,종로1.2.3.4가동,세종로,서울특별시 종로구 세종로 139,서울특별시 종로구 청계천로 1,126.978007103224,37.5695339371522,https://place.map.kakao.com/13133319,[]
카페올웨이즈,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 139,서울특별시 종로구 종로 134,126.992465407264,37.5701808234036,https://place.map.kakao.com/21442089,[]
귀천,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 83,서울특별시 종로구 인사동14길 14,126.9848751629,37.5747741812722,https://place.map.kakao.com/13090299,"['매일', '11:00 ~ 22:00']"
구스토,,카페,커피 전문점,종로1.2.3.4가동,인의동,서울특별시 종로구 인의동 48-2,서울특별시 종로구 종로 183,126.998369125134,37.5714294483095,https://place.map.kakao.com/1028089080,[]
샌드프레소,,카페,커피 전문점,종로1.2.3.4가동,중학동,서울특별시 종로구 중학동 110-7,서울특별시 종로구 종로1길 55-1,126.978809509477,37.5754336865025,https://place.map.kakao.com/11951522,"['월~금', '08:00 ~ 21:00', '(경복궁 야간개장시 23:00 마감)', '토', '09:00 ~ 20:30', '일', '09:00 ~ 19:30']"
태을커피,,카페,커피 전문점,종로1.2.3.4가동,공평동,서울특별시 종로구 공평동 120-2,서울특별시 종로구 우정국로 29,126.98283391437,37.5717020819508,https://place.map.kakao.com/579837710,"['월~금', '08:00 ~ 22:00', '토,일', '11:00 ~ 20:00']"
올림픽,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 172,서울특별시 종로구 수표로 114,126.989392276834,37.5714160134822,https://place.map.kakao.com/15750159,[]
옛찻집,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 196-5,서울특별시 종로구 인사동길 33-1,126.985412851259,37.573526357061,https://place.map.kakao.com/27330725,"['월~토', '10:00 ~ 23:00', '일', '10:00 ~ 22:00']"
인사동,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 196-5,서울특별시 종로구 인사동길 33-1,126.985412851259,37.573526357061,https://place.map.kakao.com/8053121,[]
초당,,카페,커피 전문점,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 177,서울특별시 종로구 인사동11길 16,126.983867546842,37.5739455650983,https://place.map.kakao.com/10841305,"['월~토', '11:00 ~ 16:00', '휴무일', '일요일']"
카페통,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 136,서울특별시 종로구 돈화문로6나길 25,126.992794452466,37.5718055065417,https://place.map.kakao.com/18835632,"['월~금', '08:00 ~ 19:00']"
카페트루어스,,카페,커피 전문점,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 146,서울특별시 종로구 인사동길 11,126.986771846843,37.5718170407955,https://place.map.kakao.com/17321687,"['매일', '08:30 ~ 23:00', '이용시 주의 사항', '연중무휴']"
카페코나퀸즈,,카페,커피 전문점,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 73-1,서울특별시 종로구 인사동길 50-1,126.984300682085,37.5745620003564,https://place.map.kakao.com/26579785,[]
카페인중독종로2가점,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 9,서울특별시 종로구 종로 69,126.985294475442,37.5705699246654,https://place.map.kakao.com/1238347117,"['매일', '11:00 ~ 23:00']"
커피원,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 80-6,서울특별시 종로구 종로5길 58,126.980315823657,37.5728967632044,https://place.map.kakao.com/1045149161,"['월~금', '07:00 ~ 17:00', '휴무일', '토,일요일', '공휴일']"
아사녀다방,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 4-1,서울특별시 종로구 수표로 93-1,126.989224570524,37.569585463108,https://place.map.kakao.com/8412426,[]
연화정,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 155,서울특별시 종로구 인사동길 15-3,126.986495915788,37.5721300365759,https://place.map.kakao.com/15897086,"['월~토', '10:00 ~ 20:00', '휴무일', '일요일', '설전날', '설다음날', '추석전날', '추석다음날', '1월1일', '삼일절', '어린이날', '석가탄신일', '현충일', '광복절', '성탄절', '개천절', '한글날', '이용시 주의 사항', '추석당일 휴무']"
카페마루,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 184,서울특별시 종로구 돈화문로9길 2,126.99150103868,37.5720197244251,https://place.map.kakao.com/21330336,"['월~토', '10:00 ~ 23:00', '일', '10:00 ~ 18:00']"
일립스,,카페,커피 전문점,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 263,서울특별시 종로구 종로9길 8,126.984350726299,37.570877173371,https://place.map.kakao.com/120503380,"['월~금', '07:30 ~ 16:00']"
뜰안,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-76,서울특별시 종로구 수표로28길 17-35,126.989395797871,37.5736686470236,https://place.map.kakao.com/7858535,"['화~일', '11:00 ~ 22:00', '화~일 라스트오더', '~ 21:30', '휴무일', '월요일']"
인산인해,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 182-1,서울특별시 종로구 인사동길 27-1,126.985927840881,37.5731163032604,https://place.map.kakao.com/15682271,"['매일', '11:00 ~ 01:00', '이용시 주의 사항', '연중무휴']"
심우방,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 70,서울특별시 종로구 인사동12길 1,126.984517587409,37.5744287103468,https://place.map.kakao.com/7984617,[]
자후,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 58,서울특별시 종로구 삼봉로 81,126.981794436761,37.5723869222964,https://place.map.kakao.com/1138077700,[]
이디야커피,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 124,서울특별시 종로구 종로 126,126.991515717492,37.5700916205162,https://place.map.kakao.com/10748907,"['월~금', '08:00 ~ 23:10', '토', '08:30 ~ 23:10', '일', '09:30 ~ 22:10', '공휴일', '08:30 ~ 23:10']"
이디야커피,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 58,서울특별시 종로구 삼봉로 81,126.981794436761,37.5723869222964,https://place.map.kakao.com/10748907,"['월~금', '08:00 ~ 23:10', '토', '08:30 ~ 23:10', '일', '09:30 ~ 22:10', '공휴일', '08:30 ~ 23:10']"
바람부는섬,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 30-1,서울특별시 종로구 인사동길 20,126.986751251032,37.5725016553508,https://place.map.kakao.com/12447627,[]
이미,,카페,커피 전문점,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 194-27,서울특별시 종로구 인사동5길 29,126.984822520641,37.5719805017636,https://place.map.kakao.com/27510737,[]
어반스테이,,카페,커피 전문점,종로1.2.3.4가동,청진동,서울특별시 종로구 청진동 63-1,서울특별시 종로구 종로7길 29-13,126.981497285876,37.571762640724,https://place.map.kakao.com/24694160,[]
사랑방,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 177,서울특별시 종로구 인사동11길 16,126.983867546842,37.5739455650983,https://place.map.kakao.com/25115782,[]
오가다종로2가인,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 137-2,서울특별시 종로구 인사동길 9,126.986819075996,37.5716732795493,https://place.map.kakao.com/760212521,"['매일', '10:00 ~ 21:50', '이용시 주의 사항', '연중무휴']"
